age,sex,educ,race,income,married,pid
59,1,9,1,0,1,1
31,0,1,3,17000,0,2
36,1,11,1,0,1,3
54,1,11,1,9100,1,4
39,0,5,3,37000,0,5
34,0,9,1,0,1,6
93,1,8,1,6000,1,7
69,0,13,1,350000,1,8
40,1,11,3,33000,1,9
27,1,11,1,25000,0,10
59,1,13,1,49000,1,11
31,1,11,3,0,1,12
73,1,13,4,35500,0,13
89,1,9,1,4000,1,14
39,1,10,3,15000,0,15
51,1,13,4,120000,1,16
32,0,9,1,13000,0,17
52,0,11,2,45000,0,18
24,0,7,1,0,0,19
48,1,10,1,4300,1,20
51,0,1,3,16000,1,21
43,1,14,1,365000,1,22
29,0,4,3,20000,0,23
44,1,15,1,17900,1,24
87,1,8,1,3600,0,25
27,1,11,3,10800,0,26
58,0,13,1,60900,1,27
32,1,11,3,25000,1,28
74,1,7,3,6520,0,29
28,1,13,4,21000,0,30
70,0,15,1,319000,1,31
35,0,9,1,30000,0,32
36,1,11,3,600,1,33
63,1,9,3,35800,1,34
21,1,9,3,18000,0,35
29,0,1,3,21200,1,36
44,0,13,1,50000,1,37
35,1,11,3,0,1,38
43,0,13,3,69800,1,39
59,1,10,4,30000,1,40
53,0,5,3,17300,1,41
42,0,10,1,38000,1,42
32,0,11,1,19000,1,43
50,0,16,1,52650,1,44
18,0,4,3,0,0,45
40,1,13,1,40000,1,46
42,1,11,1,7000,0,47
52,0,11,1,325000,1,48
56,1,14,1,52000,1,49
45,1,11,1,0,1,50
39,0,8,1,18000,0,51
28,0,10,1,49000,1,52
46,1,13,1,47000,1,53
45,0,11,3,50000,1,54
32,1,9,4,12000,1,55
22,1,9,1,5000,1,56
52,1,15,1,43000,1,57
21,0,3,3,12000,1,58
60,1,13,1,4000,1,59
77,1,11,1,2500,1,60
38,0,1,3,1800,0,61
40,1,11,3,15700,1,62
34,1,11,2,13700,0,63
48,1,12,1,76000,1,64
69,1,9,1,5010,1,65
46,0,11,1,85300,1,66
40,0,13,1,149000,0,67
26,1,9,3,12000,1,68
37,1,14,1,65000,0,69
30,0,5,3,13000,1,70
70,1,15,4,1800,1,71
42,1,4,3,0,0,72
24,1,3,3,12500,1,73
31,0,9,3,28000,1,74
20,0,8,3,8400,0,75
33,1,11,1,18500,0,76
47,0,7,1,155100,1,77
19,1,10,1,0,0,78
33,1,5,1,4600,0,79
66,1,13,4,4600,1,80
23,0,11,1,66000,0,81
51,1,9,1,9600,0,82
23,0,13,1,23500,0,83
47,1,13,1,63000,1,84
48,1,8,3,13000,1,85
43,1,11,1,8000,1,86
31,0,10,3,10400,0,87
47,1,3,3,10200,1,88
74,0,11,1,24400,0,89
93,1,1,2,6000,0,90
55,1,11,1,12800,0,91
29,1,9,3,24000,0,92
33,0,11,3,119000,1,93
50,0,2,3,18000,1,94
28,0,11,2,8100,1,95
29,1,13,1,38000,0,96
38,1,10,1,35000,1,97
42,0,9,3,50900,1,98
50,1,10,1,22640,0,99
77,0,4,3,12400,1,100
37,1,3,3,0,1,101
40,0,11,1,40000,0,102
30,0,6,3,40000,1,103
19,1,11,1,7000,0,104
50,1,9,3,60000,0,105
82,1,9,3,690,0,106
22,1,9,3,21000,0,107
63,0,12,1,94100,1,108
48,1,12,1,6800,0,109
46,0,15,1,52000,1,110
45,1,9,3,0,0,111
37,1,10,3,10800,0,112
76,0,13,4,680,0,113
25,0,9,1,0,0,114
40,1,10,3,33000,1,115
34,0,9,3,22500,1,116
56,1,13,4,2000,1,117
43,1,11,3,25000,1,118
42,0,14,1,115370,1,119
22,1,11,1,0,1,120
45,1,11,1,38580,0,121
32,1,3,3,16000,1,122
23,0,11,3,5600,1,123
19,0,10,2,14000,0,124
52,1,9,1,109000,0,125
44,1,13,4,27000,1,126
43,0,13,4,51800,0,127
34,1,13,4,0,1,128
32,1,13,1,28030,0,129
38,0,10,1,11200,0,130
40,1,10,1,62700,1,131
82,0,14,1,20000,1,132
31,1,9,2,23000,0,133
42,1,9,1,3000,1,134
47,0,1,2,220,0,135
66,0,16,1,120000,1,136
30,0,9,4,30000,0,137
42,1,10,3,28000,0,138
50,1,11,1,48700,1,139
26,1,10,1,11000,1,140
53,0,9,3,6000,0,141
22,0,8,4,7000,1,142
28,1,2,3,0,1,143
25,0,6,3,22000,1,144
30,1,11,3,20000,1,145
86,1,9,1,12020,1,146
33,0,12,3,33000,0,147
62,1,11,2,4900,0,148
23,1,12,3,0,0,149
36,0,12,1,60000,1,150
84,1,9,1,5600,1,151
29,0,6,1,28000,0,152
29,0,11,1,91000,1,153
18,1,8,2,0,0,154
44,1,13,3,27000,1,155
61,0,9,1,15800,1,156
72,1,13,1,21600,1,157
59,0,13,1,30000,1,158
33,0,13,4,92000,1,159
51,0,13,1,181000,1,160
35,1,15,1,80000,1,161
47,1,13,1,75800,0,162
50,0,16,4,90000,1,163
30,1,11,1,0,0,164
31,1,8,2,0,1,165
30,0,13,4,62300,1,166
77,1,10,1,0,1,167
59,0,1,1,30000,1,168
22,1,13,1,4800,0,169
66,1,12,1,17000,0,170
49,1,11,3,36000,0,171
44,1,13,1,25000,1,172
18,0,7,1,4000,0,173
35,0,12,3,27000,0,174
38,1,3,3,6200,1,175
55,1,9,1,25800,0,176
32,0,11,2,33500,0,177
29,0,9,1,40000,1,178
36,1,9,2,0,0,179
21,0,11,1,16000,0,180
43,1,13,3,1330,1,181
81,0,9,4,21600,1,182
45,1,12,1,32000,1,183
37,1,8,3,24000,0,184
41,1,9,1,31000,1,185
46,0,9,1,0,0,186
29,1,14,4,37100,1,187
40,1,9,1,5800,1,188
24,1,5,3,3500,0,189
63,1,12,1,86000,1,190
61,0,1,3,14400,1,191
43,1,12,1,22600,1,192
86,1,13,1,37100,0,193
38,0,14,4,72000,1,194
75,0,3,2,8000,0,195
32,0,13,1,110300,0,196
63,1,10,1,13100,0,197
27,0,11,3,26000,0,198
64,0,13,1,125200,1,199
71,1,4,1,11900,1,200
54,1,11,1,2460,1,201
57,1,14,1,47500,1,202
56,1,12,1,13900,1,203
